image,title,address_street,address_locality,address_region,address_postal,address_country,type1,type2,number_of_rooms,price,price_usd,price_currency,url,size,size_unit,size_sqft,bed,bath,remark
https://ssl.cdn-redfin.com/photo/115/islphoto/523/genIslnoResize.22300523_0.jpg,"46 Calle Solares, Tubac, AZ 85646",,,,,,,,,"$497,545",,,https://www.redfin.com/AZ/Tubac/46-Calle-Solares-85646/home/122280030,,,"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the renowned Tubac Golf Resort. Situated on approximately 1/2 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms, 2 bathrooms and a den, this Verbena-Ranch floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD DEC 30, 2022$497,545 Last Sold Price 2 beds2 baths1,800 sq ft9,230 sq ft (lot)46 Calle Solares, Tubac, AZ 8564646 Calle Solares, Tubac, AZ 85646"
,"53 Burruel St, Tubac, AZ 85646",,,,,,,,,"$546,757",,,https://www.redfin.com/AZ/Tubac/53-Burruel-St-85646/home/122290083,,,"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the renowned Tubac Golf Resort. Situated on approximately 1/2 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms, 2 bathrooms and a den, this Verbena-Ranch floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD DEC 30, 2022$546,757 Last Sold Price 2 beds2 baths1,800 sq ft9,230 sq ft (lot)53 Burruel St, Tubac, AZ 8564653 Burruel St, Tubac, AZ 85646"
,"20 Nichols Court St, Tubac, AZ 85646",,,,,,,,,"$560,711",,,https://www.redfin.com/AZ/Tubac/20-Nichols-Ct-85646/home/122280027,,,"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the renowned Tubac Golf Resort. Situated on approximately 1/2 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms, 2 bathrooms and a den, this Verbena-Ranch floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD FEB 6, 2023$560,711 Last Sold Price 2 beds2 baths1,800 sq ft9,230 sq ft (lot)20 Nichols Court St, Tubac, AZ 8564620 Nichols Court St, Tubac, AZ 85646"
,"50 Calle Solares, Tubac, AZ 85646",,,,,,,,,"$488,856",,,https://www.redfin.com/AZ/Tubac/50-Calle-Solares-85646/home/122289707,0.0,acre (lot),"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the Anza course Hole #2  of the renowned Tubac Golf Resort. Situated on approximately 1/4 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms and 2 bathrooms and a den, this Verbena-Hacienda floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD FEB 20, 2023$488,856 Last Sold Price 2 beds2 baths1,800 sq ft0.28 acre (lot)50 Calle Solares, Tubac, AZ 8564650 Calle Solares, Tubac, AZ 85646"
,"467 Camino Providencia --, Rio Rico, AZ 85648",,,,,,,,,"$370,000",,,https://www.redfin.com/AZ/Rio-Rico/467-Camino-Providencia-85648/home/122028129,0.0,acre (lot),"2,360",3.0,3.0,"Santa Cruz County, AZ Home for SaleReady for Summer Swimming? Come see this Beautiful Property that has a pool and is extremely private!!! Home features 3 bed 2.5 baths, large kitchen including a formal dining room! A detached garage and as a bonus, a large detached pool house with an additional bathroom. Perfect for a home office or guest quarters. Additonally, enjoy entertaining friends not only with the incredible pool and spa, theres a large covered ramada for built in's that overlooks the valley below! The property also has cleared land in the back for a large shop to be built or a large garden. So much potential with this beautiful property. Come check it out!Santa Cruz County, AZ Home for SaleReady for Summer Swimming? Come see this Beautiful Property that has a pool and is extremely private!!! Home features 3 bed 2.5 baths, large kitchen including a formal dining room! A detached garage and as a bonus, a large detached pool house with an additional bathroom. Perfect for a home office or guest quarters. Additonally, enjoy entertaining friends not only with the incredible pool and spa, theres a large covered ramada for built in's that overlooks the valley below! The property also has cleared land in the back for a large shop to be built or a large garden. So much potential with this beautiful property. Come check it out!1 / 2SOLD JUN 5, 2023$370,000 Last Sold Price 3 beds3 baths2,360 sq ft0.88 acre (lot)467 Camino Providencia --, Rio Rico, AZ 85648467 Camino Providencia --, Rio Rico, AZ 85648"
,"40 Calle Solares, Tubac, AZ 85646",,,,,,,,,"$493,310",,,https://www.redfin.com/AZ/Tubac/40-Calle-Solares-85646/home/122361131,,,"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the renowned Tubac Golf Resort. Situated on approximately 1/2 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms, 2 bathrooms and a den, this Verbena-Ranch floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD DEC 30, 2022$493,310 Last Sold Price 2 beds2 baths1,800 sq ft9,230 sq ft (lot)40 Calle Solares, Tubac, AZ 8564640 Calle Solares, Tubac, AZ 85646"
,"43 Burrell St, Tubac, AZ 85646",,,,,,,,,"$532,483",,,https://www.redfin.com/AZ/Tubac/43-Burrell-ST-Unknown/home/178545562,0.0,acre (lot),"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the Anza course Hole #2  of the renowned Tubac Golf Resort. Situated on approximately 1/4 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms and 2 bathrooms and a den, this Verbena-Hacienda floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD MAR 30, 2023$532,483 Last Sold Price 2 beds2 baths1,800 sq ft0.28 acre (lot)43 Burrell St, Tubac, AZ 8564643 Burrell St, Tubac, AZ 85646"
https://ssl.cdn-redfin.com/photo/115/islphoto/504/genIslnoResize.22321504_0.jpg,"71 Palmas Ct, Tubac, AZ 85646",,,,,,,,,"$539,000",,,https://www.redfin.com/AZ/Tumacacori/71-Palmas-Ct-85640/home/122105786,,,"1,970",3.0,3.0,"Santa Cruz County, AZ Home for SaleMove in ready, this beautiful and gently used (2020 built) Double E Builders custom home on a (cul-de-sac) corner lot in the Sanctuary at Tubac Golf Resort is ready to go. Cozied up to common areas on two sides this home features 2 BR, 2 BA in the main home with an adjacent 1 BR, 1 BA attached Casita (workshop/hobby room, office etc). Fabulous tile floors, fireplace, finishes, window coverings and accents throughout. Kitchen showcases stainless appliances (side by side refrigerator, gas range, microwave) , double sink, custom cabinets and granite counter tops. Large laundry room with washer and dryer. Simple landscape and hardscapes for easy care (lock and leave). Perfect for outdoor living1 / 10SOLD NOV 9, 2023$539,000 Last Sold Price 3 beds3 baths1,970 sq ft7,075 sq ft (lot)71 Palmas Ct, Tubac, AZ 8564671 Palmas Ct, Tubac, AZ 85646"
,"511 W Dunbar Dr, Nogales, AZ 85621",,,,,,,,,"$165,000",,,https://www.redfin.com/AZ/Nogales/511-W-Dunbar-Dr-85621/home/122251602,,,"1,044",2.0,,"Santa Cruz County, AZ Home for SaleHome located near USA/Mexico border. Two bedrooms, one full bath, new shingle roof, double pane windows, luxury laminate flooring, natural gas, sewer connection, interior and exterior paint, metal screen doors, nice covered front porch to enjoy the lovely sunsets.Santa Cruz County, AZ Home for SaleHome located near USA/Mexico border. Two bedrooms, one full bath, new shingle roof, double pane windows, luxury laminate flooring, natural gas, sewer connection, interior and exterior paint, metal screen doors, nice covered front porch to enjoy the lovely sunsets.1 / 2SOLD SEP 12, 2023$165,000 Last Sold Price 2 beds1 bath1,044 sq ft4,600 sq ft (lot)511 W Dunbar Dr, Nogales, AZ 85621511 W Dunbar Dr, Nogales, AZ 85621"
https://ssl.cdn-redfin.com/photo/86/islphoto/865/genIslnoResize.6488865_1.jpg,"1867 Calle Caracol, Rio Rico, AZ 85648",,,,,,,,,"$420,000",,,https://www.redfin.com/AZ/Rio-Rico/1867-Calle-Caracol-85648/home/122152746,1.0,acres (lot),"1,918",3.0,2.0,"Santa Cruz County, AZ Home for SaleAwsome views, Great room with wood burning fireplace and covered patios, lots of storage areas and separate laundry room and split bedrooms. There is a casita with its own bathroom and mini split. Perfect getaway location!  Two adoinging lots included in price which make it a total of 2.97 acres for more privacy.1 / 21SOLD JUN 15, 2023$420,000 Last Sold Price 3 beds2 baths1,918 sq ft1.04 acres (lot)1867 Calle Caracol, Rio Rico, AZ 856481867 Calle Caracol, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/115/islphoto/887/genIslnoResize.22126887_0.jpg,"1154 Calle Remedios, Rio Rico, AZ 85648",,,,,,,,,"$120,000",,,https://www.redfin.com/AZ/Rio-Rico/1154-Calle-Remedios-85648/home/122350931,1.0,acres (lot),"1,502",3.0,2.0,"Santa Cruz County, AZ Home for SaleFix up single family with excellent southern views - high on a hill overlooking the valley. Property has been abandoned and vandalized. .. 3rd bedroom made into a sitting room with archway - main bedroom/bath suite appears to be under extensive re-construction. Price reflects repairs needed - great opportunity for sweat equity or investor flip.1 / 8SOLD AUG 25, 2023$120,000 Last Sold Price 3 beds2 baths1,502 sq ft1.27 acres (lot)1154 Calle Remedios, Rio Rico, AZ 856481154 Calle Remedios, Rio Rico, AZ 85648"
,"273 Duquesne Ave, Patagonia, AZ 85624",,,,,,,,,"$425,000",,,https://www.redfin.com/AZ/Patagonia/273-Duquesne-Ave-85624/home/122108630,0.0,acre (lot),"1,460",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis is a charming single-family home in the heart of Patagonia, Arizona. This beautiful property has 2 bedrooms and 2 bathrooms, providing comfortable living space for families or couples. The exterior of the home is impressive, with a large backyard that is perfect for outdoor entertaining or simply enjoying the beautiful Arizona weather. Featuring a historic mining building that provided shelter for miners in the early 1900's. The home is situated in a quiet and peaceful neighborhood, surrounded by stunning views of the surrounding mountains and natural beauty. With its convenient location, this property provides access to local amenities, including shops, restaurants, and parks. Its a p1 / 23SOLD MAY 15, 2023$425,000 Last Sold Price 2 beds2 baths1,460 sq ft0.56 acre (lot)273 Duquesne Ave, Patagonia, AZ 85624273 Duquesne Ave, Patagonia, AZ 85624"
https://ssl.cdn-redfin.com/photo/86/islphoto/752/genIslnoResize.6515752_3.jpg,"325 W Santa Barbara, Nogales, AZ 85621",,,,,,,,,"$250,000",,,https://www.redfin.com/AZ/Nogales/325-W-Santa-Barbara-St-85621/home/122048289,,,"1,490",3.0,2.0,"Santa Cruz County, AZ Home for SaleLocation, Location, Location!!! An opportunity to make this wonderful townhome your new residence. Very well maintained 3BR/2BA home with an interior patio. Don't wait too long too long to tour this property. It may not be available tomorrow.1 / 11SOLD AUG 15, 2023$250,000 Last Sold Price 3 beds2 baths1,490 sq ft2,560 sq ft (lot)325 W Santa Barbara, Nogales, AZ 85621325 W Santa Barbara, Nogales, AZ 85621"
,"260 W 1st St, Nogales, AZ 85621",,,,,,,,,"$90,000",,,https://www.redfin.com/AZ/Nogales/260-W-1st-St-85621/home/187432546,,,"1,051",4.0,2.0,"Santa Cruz County, AZ Home for Sale4bd, 2ba mobile home lot include. Corner lotwalled in yard . gas furnace, evaporated  swamp cooler, washer and dryer hook upsgas stove, electric water heater. 24- notice tenant occupied.1 / 8SOLD SEP 28, 2023$90,000 Last Sold Price 4 beds2 baths1,051 sq ft5,350 sq ft (lot)260 W 1st St, Nogales, AZ 85621260 W 1st St, Nogales, AZ 85621"
,"341 N Wayside Dr, Nogales, AZ 85621",,,,,,,,,"$75,000",,,https://www.redfin.com/AZ/Nogales/341-N-Wayside-Dr-85621/home/122042657,,,"1,039",2.0,,"Santa Cruz County, AZ Home for SaleGreat Investment Property! Fixer Upper. 2 bedroom and 1 bathroom, Covered carport and fruit trees.1 / 10SOLD JUL 20, 2023$75,000 Last Sold Price 2 beds0.5 baths1,039 sq ft6,250 sq ft (lot)341 N Wayside Dr, Nogales, AZ 85621341 N Wayside Dr, Nogales, AZ 85621"
https://ssl.cdn-redfin.com/photo/86/islphoto/971/genIslnoResize.6580971_0.jpg,"271 E Monterey St, Nogales, AZ 85621",,,,,,,,,"$198,000",,,https://www.redfin.com/AZ/Nogales/271-E-Monterey-St-85621/home/122138499,,,"1,200",3.0,2.0,"Santa Cruz County, AZ Home for SaleHome in Nogales East. Residencial. 3 Bedrooms, 2 full Baths, House features double panel window, car port, sewer connections, interior exterior paint, nice covered front porch. and much more.1 / 12SOLD JUL 7, 2023$198,000 Last Sold Price 3 beds2 baths1,200 sq ft5,000 sq ft (lot)271 E Monterey St, Nogales, AZ 85621271 E Monterey St, Nogales, AZ 85621"
https://ssl.cdn-redfin.com/photo/115/islphoto/887/genIslnoResize.22222887_7.jpg,"2848 Highway 83, Sonoita, AZ 85637",,,,,,,,,"$415,000",,,https://www.redfin.com/AZ/Sonoita/2848-AZ-83-85637/home/174475523,3.0,acres (lot),"1,642",3.0,2.0,"Santa Cruz County, AZ Home for SaleCustom Built 1642 Sq. Ft. Home. . Nestled down into Rolling Grass Hills this 3 Bedroom 2 Bath 2 Car garage, Split floor plan , Open great room, Stainless Steel Kitchen. Siting on over 3 well Maintained Fenced  Acres, with Security Gate. Irrigated from  Private Well Fruit Tree Orchard. .. Apricot , Apple, Peach. Shrubs and Trees, Array of Flowers. Large back connecting side porch, Extra front Sitting Porch. .. Perfect for nature watching and taking in the mountain view.1 / 42SOLD JUN 16, 2023$415,000 Last Sold Price 3 beds2 baths1,642 sq ft3.16 acres (lot)2848 Highway 83, Sonoita, AZ 856372848 Highway 83, Sonoita, AZ 85637"
,"300 Circulo Bellagio, Rio Rico, AZ 85648",,,,,,,,,"$269,000",,,https://www.redfin.com/AZ/Rio-Rico/300-Circulo-Bellagio-85648/home/122117497,,,"1,562",3.0,2.0,"Santa Cruz County, AZ Home for SaleDo not miss your opportunity to see this beautiful home in Rio Rico! With a convenient location within walking distance to the a grociery tore and post office, this 3 bedroom 2 bathroom home won't last long! The neighborhood features paved sidewalks, a community pool, and BBQ area. The primary bedroom features a larger bathroom with double sinks, and the living room is open and features a convenient fireplace. If you're looking for storage the built in shelving in the garage will give you all the storage you need! This one won't last, schedule a showing today.1 / 28SOLD FEB 21, 2023$269,000 Last Sold Price 3 beds2 baths1,562 sq ft7,840 sq ft (lot)300 Circulo Bellagio, Rio Rico, AZ 85648300 Circulo Bellagio, Rio Rico, AZ 85648"
https://ssl.cdn-redfin.com/photo/115/islphoto/631/genIslnoResize.22306631_1.jpg,"231 W Kolver St, Nogales, AZ 85621",,,,,,,,,"$185,000",,,https://www.redfin.com/AZ/Nogales/231-W-Kolver-St-85621/home/122216975,,,"1,114",3.0,,"Santa Cruz County, AZ Home for Sale3 bd, 1 ba, home living room, dining area, tile floor , swap cooler, storage room, front and back yard sold AS IS. property is on flood zoneHOUSE SOLD AS IS1 / 25SOLD SEP 8, 2023$185,000 Last Sold Price 3 beds1 bath1,114 sq ft6,325 sq ft (lot)231 W Kolver St, Nogales, AZ 85621231 W Kolver St, Nogales, AZ 85621"
,"458 W Elm St, Nogales, AZ 85621",,,,,,,,,"$650,000",,,https://www.redfin.com/AZ/Nogales/458-W-Elm-St-85621/home/122043095,,,,,,"Santa Cruz County, AZ Home for SalePhenomenal investment opportunity to own a 12 unit multi-family property in the heart of downtown Nogales! Property is comprised of ten 2-bedroom units and two 3-bedroom units, all at full occupancy, with a majority of the tenant being long term renters! Ten of the units are on month to month leases with two of the units on year leases through the Nogales Housing Authority. Utilities are separately metered! Located 0.1 miles away from Sacred Heart of Jesus Parish, units are walking distance to all the amenities that downtown Nogales has to offer! At a 9.38% capitalization rate and an annual gross scheduled rent of $67,200, do not miss out!1 / 14SOLD OCT 25, 2023$650,000 Last Sold Price —beds—baths—sq ft458 W Elm St, Nogales, AZ 85621458 W Elm St, Nogales, AZ 85621"
,"1740 N San Luis Dr, Nogales, AZ 85621",,,,,,,,,"$295,000",,,https://www.redfin.com/AZ/Nogales/1740-N-San-Luis-Dr-85621/home/122107362,,,"1,964",3.0,2.0,"Santa Cruz County, AZ Home for SaleLook no further! Located in Villa San Simone, this elegant townhome blends modern comfort with serene surroundings. A 2-car garage and a front yard w/ a stone fountain are just the beginning! Discover a tri-level interior showcasing an open-concept living  &  dining area adorned with skylights. Vaulted ceilings, recessed lighting, abundant natural light, and tile flooring in common areas create an inviting atmosphere. The kitchen boasts stainless steal appliances, ample wood cabinetry, a serving window, and a breakfast area. Large master bedroom includes an ample closet and an upgraded bathroom. In the backyard you will find stunning views and a spacious deck, providing plentiful space 1 / 31SOLD NOV 1, 2023$295,000 Last Sold Price 3 beds2 baths1,964 sq ft2,517 sq ft (lot)1740 N San Luis Dr, Nogales, AZ 856211740 N San Luis Dr, Nogales, AZ 85621"
,"22 Terney Ln, Sonoita, AZ 85637",,,,,,,,,"$476,000",,,https://www.redfin.com/AZ/Sonoita/22-Terney-Ln-85637/home/122361113,12.0,acres (lot),"3,165",4.0,2.0,"Santa Cruz County, AZ Home for SaleUnique investment opportunity in wine country! Come see ''CASA DEL CABALLO, '' a 1965 original burnt adobe ranch home on 12.5 acres. Nestled alongside the Coronado national forest, you'll have access to ride your horse or recreational vehicles till your heart's content. Includes a metal barn, fenced pasture, yards, and kennels, along with a seasonal stock pond on the back acreage. Enjoy 360 degree views of the Santa Rita, Patagonia, and Mustang mountains. The property also boasts mature trees, several of which are fruit bearing, beautiful rose bushes, an attached workshop, and a 500 sq ft detached studio apartment with endless possibilities.1 / 45SOLD AUG 11, 2023$476,000 Last Sold Price 4 beds2.5 baths3,165 sq ft12.50 acres (lot)22 Terney Ln, Sonoita, AZ 8563722 Terney Ln, Sonoita, AZ 85637"
,"22 Terney Ln, Sonoita, AZ 85637",,,,,,,,,"$476,000",,,https://www.redfin.com/AZ/Sonoita/22-Terney-Ln-85637/home/174470059,12.0,acres (lot),"2,621",4.0,3.0,"Santa Cruz County, AZ Home for SaleUnique investment opportunity in wine country! Come see ''CASA DEL CABALLO, '' a 1965 original burnt adobe ranch home on 12.5 acres. Nestled alongside the Coronado national forest, you'll have access to ride your horse or recreational vehicles till your heart's content. Includes a metal barn, fenced pasture, yards, and kennels, along with a seasonal stock pond on the back acreage. Enjoy 360 degree views of the Santa Rita, Patagonia, and Mustang mountains. The property also boasts mature trees, several of which are fruit bearing, beautiful rose bushes, an attached workshop, and a 500 sq ft detached studio apartment with endless possibilities.1 / 54SOLD AUG 11, 2023$476,000 Last Sold Price 4 beds3 baths2,621 sq ft12.50 acres (lot)22 Terney Ln, Sonoita, AZ 8563722 Terney Ln, Sonoita, AZ 85637"
